experiment,conv_filters,kernel,dense_units,activation,optimizer,lr,batch,epochs,train_acc,val_acc,test_acc
tanh_activation,"(32, 64, 128)","(3, 3)","(256,)",tanh,adam,0.001,64,20,0.9998,0.65,0.6492
larger_batch,"(32, 64, 128)","(3, 3)","(256,)",relu,adam,0.001,128,20,0.8573,0.6458,0.6283
more_epochs,"(32, 64, 128)","(3, 3)","(256,)",relu,adam,0.001,64,40,0.9867,0.645,0.625
fewer_conv,"(32, 64)","(3, 3)","(256,)",relu,adam,0.001,64,20,0.9254,0.645,0.6175
deeper_dense,"(32, 64, 128)","(3, 3)","(256, 128)",relu,adam,0.001,64,20,0.8783,0.6442,0.6367
larger_dense,"(32, 64, 128)","(3, 3)","(512,)",relu,adam,0.001,64,20,0.9477,0.6425,0.6042
baseline,"(32, 64, 128)","(3, 3)","(256,)",relu,adam,0.001,64,20,0.9215,0.6342,0.6367
smaller_batch,"(32, 64, 128)","(3, 3)","(256,)",relu,adam,0.001,32,20,0.9442,0.6342,0.6233
rmsprop_optimizer,"(32, 64, 128)","(3, 3)","(256,)",relu,rmsprop,0.001,64,20,0.9323,0.6308,0.6258
more_conv,"(32, 64, 128, 256)","(3, 3)","(256,)",relu,adam,0.001,64,20,0.9592,0.6225,0.62
larger_kernel_5x5,"(32, 64, 128)","(5, 5)","(256,)",relu,adam,0.001,64,20,0.949,0.595,0.5983
adam_low_lr,"(32, 64, 128)","(3, 3)","(256,)",relu,adam,0.0001,64,20,0.5873,0.5825,0.5525
sigmoid_activation,"(32, 64, 128)","(3, 3)","(256,)",sigmoid,adam,0.001,64,20,0.4948,0.4283,0.4292
adam_high_lr,"(32, 64, 128)","(3, 3)","(256,)",relu,adam,0.01,64,20,0.4394,0.3933,0.3933
sgd_optimizer,"(32, 64, 128)","(3, 3)","(256,)",relu,sgd,0.01,64,20,0.3629,0.3783,0.3692
sigmoid_deeper,"(32, 64, 128, 256)","(3, 3)","(256,)",sigmoid,adam,0.001,64,20,0.084,0.0833,0.0833
